	drugbankId	name	ttd_id	pubchem_cid	cas_num	chembl_id	zinc_id	chebi_id	kegg_cid	kegg_id	bindingDB_id	UMLS_cuis	stitch_id
544	DB01161	Chloroprocaine	D07NAJ	8612.0	133-16-4	CHEMBL1179047	ZINC000001530938	3636	C07877	D07678	50239963.0	C0055443	CID000008612
546	DB01160	Dinoprost tromethamine	D04RGA	5282415.0	38562-01-5	CHEMBL1200896		31502	C12786	D01352		C0058310,C0701180	CID005282415
548	DB01167	Itraconazole	D0V4IB	55283.0	84625-61-6	CHEMBL22587		6076		D00350	50127138.0	C0064113	CID000055283
550	DB01166	Cilostazol	D03VPC	2754.0	73963-72-1	CHEMBL799	ZINC000001552174	31401		D01896	50225508.0	C0055729	CID000002754
552	DB01165	Ofloxacin	D03NHW	4583.0	82419-36-1	CHEMBL4		7731	C07321	D00453	50045004.0	C0028902	CID000004583
557	DB01168	Procarbazine	D08GYO	4915.0	671-16-9	CHEMBL1321	ZINC000019166988	71417	C07402	D08423		C0033223	CID000004915
574	DB13158	Clobetasone		71387.0	54063-32-0	a:Q5134764	ZINC000005752185			D07717		C0360518	CID100002792
577	DB01174	Phenobarbital	D0Y7RW	4763.0	50-06-6	CHEMBL40	ZINC000095588079	8069	C07434	D00506	50021437.0	C0031412	CID000004763
578	DB01173	Orphenadrine	D0D9FV	4601.0	83-98-7	CHEMBL900		7789	C07935	D08305	50062614.0	C0029309	CID000004601
579	DB01172	Kanamycin	D0YV1Q	6032.0	59-01-8	CHEMBL1384	ZINC000008214590	17630	C01822		50031282.0	C0022487,C0022489	CID000006032
580	DB01171	Moclobemide	D01ZSO	4235.0	71320-77-9	CHEMBL86304	ZINC000019606670	83531		D02561	15613.0	C0066673	CID000004235
582	DB01177	Idarubicin	D01XDL	42890.0	58957-92-9	CHEMBL1117	ZINC000003920266	42068		D08062	58490.0	C0020789	CID000042890
583	DB01176	Cyclizine	D08HRJ	6726.0	82-92-8	CHEMBL648	ZINC000019156872	3994	C06930	D03621		C0010547	CID000006726
584	DB01175	Escitalopram	D08RBC	146570.0	128196-01-0	CHEMBL1508	ZINC000003800706	36791		D07913	50302225.0	C1099456	CID000146570
585	DB01179	Podofilox	D0D4HN	10607.0	518-28-5	CHEMBL61	ZINC000003861806	50305	C10874		50035218.0	C0032334	CID000010607
692	DB01222	Budesonide	D0Y7IU	5281004.0	51333-22-3	CHEMBL1370		3207		D00246	50354850.0	C0054201	CID005281004
695	DB01221	Ketamine	D0UM7O	3821.0	6740-88-1	CHEMBL742		6121	C07525	D08098	50044140.0	C0022614,C0079883,C0701928	CID000003821
698	DB01220	Rifaximin	D04ITO	6436173.0	80621-81-4	CHEMBL1617	ZINC000169621200	75246		D02554	50347620.0	C0073374,C4255714,C4255715	CID006436173
703	DB01226	Mivacurium	D0OB2M	5281042.0	133814-19-4	CHEMBL1182833	ZINC000150338702	6958	C07550			C0066621	CID005281042
709	DB01224	Quetiapine	D0H7KF	5002.0	111974-69-7	CHEMBL716	ZINC000019632628	8707	C07397	D08456	50095890.0	C0123091	CID000005002
712	DB01223	Aminophylline	D03TYI	9433.0	317-34-0	CHEMBL1370561		2659		D00227	50390990.0	C0002575,C1257689	CID000009433
715	DB01229	Paclitaxel	D0C4RB	36314.0	33069-62-4	CHEMBL428647	ZINC000096006020	45863	C07394	D00491	50001839.0	C0144576,C0678133	CID100004666
753	DB01233	Metoclopramide	D08VYV	4168.0	364-62-5	CHEMBL86	ZINC000001530716	107736	C07868	D00726	48320.0	C0025853	CID000004168
755	DB01232	Saquinavir	D0WI3T	441243.0	127779-20-8	CHEMBL114	ZINC000003914596	63621		D00429	519.0	C0286738	CID100060787
767	DB01236	Sevoflurane	D0W6ZF	5206.0	28523-86-6	CHEMBL1200694	ZINC000001530810	9130	C07520	D00547	20069.0	C0074414	CID000005206
773	DB01234	Dexamethasone	D0IT2G	5743.0	50-02-2	CHEMBL384467	ZINC000003875332	41879	C15643	D00292	18207.0	C0011777	CID000005743
777	DB01238	Aripiprazole	D0H3HM	60795.0	129722-12-9	CHEMBL1112	ZINC000001851149	31236	C12564	D01164	50130293.0	C0299792	CID000060795
810	DB01244	Bepridil	D0Y4JJ	2351.0	64706-54-3	CHEMBL1008		3061	C06847	D07520	78577.0	C0005116,C0206026	CID000002351
813	DB01242	Clomipramine	D0ZS8P	2801.0	303-49-1	CHEMBL415	ZINC000000020248	47780	C06918	D00811	77970.0	C0009010	CID000002801
815	DB01241	Gemfibrozil	D05VIX	3463.0	25812-30-0	CHEMBL457	ZINC000001530641	5296	C07020	D00334	50110590.0	C0017245	CID000003463
817	DB01248	Docetaxel	D0O5WP	148124.0	114977-28-5	CHEMBL92	ZINC000085537053	4672	C11231	D02165	36351.0	C0246415,C0771375	CID100003143
819	DB01247	Isocarboxazid	D0I2VK	3759.0	59-63-2	CHEMBL1201168	ZINC000000001587	93635		D02580	163692.0	C0022154	CID000003759
825	DB01249	Iodixanol	D0Y4YG	3724.0	92339-11-2	CHEMBL1200507		31705		D01474		C0063757	CID000003724
854	DB01250	Olsalazine	D00KRE	6003770.0	15722-48-2	CHEMBL425	ZINC000003812865	63614	C07323	D00727		C0069454	CID006003770
857	DB01255	Lisdexamfetamine	D00DEF	11597698.0	608137-32-2	CHEMBL1201222	ZINC000011680943	135925		D08130		C1873633	CID111597697
859	DB01254	Dasatinib	D0E6XR	3062316.0	302962-49-8	CHEMBL1421	ZINC000003986735	49375		D03658	13216.0	C1455147,C2699562	CID003062316
861	DB01253	Ergometrine	D0C1IW	443884.0	60-79-7	CHEMBL119443	ZINC000053174604	4822	C07543	D07905	50390991.0	C0014704	CID000443884
864	DB01259	Lapatinib	D08CDI	208908.0	231277-92-2	CHEMBL554	ZINC000001550477	49603		D04024	5445.0	C1506770	CID000208908
868	DB01256	Retapamulin	D03UQM	6918462.0	224452-66-8	CHEMBL1658	ZINC000100013500					C1703334	CID106918462
909	DB14500	Potassium	D0RN2W		7440-09-7	CHEMBL1201290		32589				C0032821	CID100000813
946	DB14513	Magnesium	D0B8QB		7439-95-4	CHEMBL2146125						C0024467,C4718956	CID100000888
950	DB14511	Acetate	D0F2ME		71-50-1			30089			50159793.0		CID100000175
963	DB01200	Bromocriptine	D06YFA	31101.0	25614-03-3	CHEMBL493	ZINC000053683151	3181	C06856	D03165	81993.0	C0006230	CID100002443
966	DB02530	gamma-Aminobutyric acid	D04QAC	119.0	56-12-2	CHEMBL96	ZINC000001532620	59888	C00334	D00058	24183.0	C0016904	CID000000119
970	DB01204	Mitoxantrone	D0R3JB	4212.0	65271-80-9	CHEMBL58	ZINC000003794794	50729	C11195	D08224	67690.0	C0026259	CID000004212
972	DB01203	Nadolol	D05SHK	39147.0	42200-33-9	CHEMBL649		7444		D00432	25766.0	C0027302	CID000039147
975	DB01202	Levetiracetam	D0E1XL	5284583.0	102767-28-2	CHEMBL1286	ZINC000001547851	6437	C07841	D00709	50422542.0	C0377265	CID005284583
977	DB01201	Rifapentine	D0G9IU	6323497.0	61379-65-5	CHEMBL1660	ZINC000169621228	45304	C08059	D00879		C0073372	CID006323497
980	DB01208	Sparfloxacin	D0K6GZ	60464.0	110871-86-8	CHEMBL850	ZINC000000538362	9212	C07662	D00590	50366822.0	C0052585	CID000060464
983	DB01206	Lomustine	D04JPJ	3950.0	13010-47-4	CHEMBL514	ZINC000003831006	6520	C07079	D00363	50247919.0	C0023972	CID000003950
985	DB01205	Flumazenil	D0D5GD	3373.0	78755-81-4	CHEMBL407	ZINC000000001464	5103	C07825	D00697	26263.0	C0016293	CID000003373
1011	DB01211	Clarithromycin	D0Z1ZM	84029.0	81103-11-9	CHEMBL1741	ZINC000085534098	3732	C06912	D00276	50404044.0	C0055856,C0620902	CID000084029
1014	DB01210	Levobunolol	D00IUG	39468.0	47141-42-4	CHEMBL1201237	ZINC000003830339	6438	C07914	D08115		C0006388	CID000039468
1019	DB01215	Estazolam	D0P2CK	3261.0	29975-16-4	CHEMBL285674	ZINC000000001370	4858	C06981	D00311	50240450.0	C0014892	CID000003261
1020	DB02546	Vorinostat	D0E7PQ	5311.0	149647-78-9	CHEMBL98	ZINC000001543873	45716		D06320	19149.0	C0672708	CID000005311
1022	DB01214	Metipranolol	D0L5FY	31477.0	22664-55-7	CHEMBL1291		6897	C07915	D02374		C0041030	CID000031477
1025	DB01213	Fomepizole	D02NJA	3406.0	7554-65-6	CHEMBL1308	ZINC000000897288	5141	C07837	D00707	50226186.0	C0048504	CID000003406
1028	DB01212	Ceftriaxone	D07ACT	5479530.0	73384-59-5	CHEMBL161	ZINC000028467879	29007	C06683	D07659	50103601.0	C0007561,C0035750	CID005479530
1030	DB01219	Dantrolene	D0I8DD	6914273.0	7261-97-4	CHEMBL1201288	ZINC000002568036	4317	C06939	D02347	50198767.0	C0010976	CID100002951
1031	DB01218	Halofantrine	D07MVK	37393.0	69756-53-2	CHEMBL1107		94392	C07634		79214.0	C0120726	CID100037392
1033	DB01217	Anastrozole	D0W0BF	2187.0	120511-73-1	CHEMBL1399	ZINC000000000941	2704	C08159	D00960	10015.0	C0290883	CID000002187
1035	DB01216	Finasteride	D08IWD	57363.0	98319-26-7	CHEMBL710	ZINC000003782599	5062		D00321	50334788.0	C0060389	CID000057363
1055	DB13295	Atracurium	D0Q1PR	47319.0	64228-79-1							C0004234	CID100047319
1060	DB14575	Eslicarbazepine	D04QZD	9881504.0	104746-04-5	CHEMBL315985	ZINC000000896938			D09215		C2725260	CID100114709
1074	DB01262	Decitabine	D0X5XU	451668.0	2353-33-5	CHEMBL1201129	ZINC000016929327	50131		D03665	96274.0	C0049065	CID000451668
1076	DB01261	Sitagliptin	D0U2JP	4369359.0	486460-32-6	CHEMBL1422	ZINC000001489478	40237		D08516	11162.0	C1565750	CID004369359
1078	DB01260	Desonide	D02JNM	5311066.0	638-94-8	CHEMBL1201109	ZINC000004212851	204734		D03696		C0011705	CID005311066
1083	DB01265	Telbivudine	D0CL9S	159269.0	3424-98-4	CHEMBL374731	ZINC000000002159	63624		D06675	50088372.0	C1453933	CID000159269
1085	DB01264	Darunavir	D03IGH	213039.0	206361-99-1	CHEMBL1323	ZINC000003955219	367163		D03656	8125.0	C1435444	CID000213039
1087	DB01263	Posaconazole	D07ABV	468595.0	171228-49-2	CHEMBL1397	ZINC000003938482	64355		D02555	50181473.0	C0936148	CID000468595
1090	DB01268	Sunitinib	D0R0MW	5329102.0	557795-19-4	CHEMBL535	ZINC000003964325	38940		D06402	4814.0	C1176020	CID005329102
1092	DB01267	Paliperidone	D0B3UJ	115237.0	144598-75-4	CHEMBL1621		83804		D05339	50252513.0	C0753678	CID000115237
1112	DB01273	Varenicline	D0LM4A	5310966.0	249296-44-4	CHEMBL1396	ZINC000001481833	84500		D08669	50166908.0	C1569608	CID100170361
1117	DB01276	Exenatide	D00YVF	14357.0	141758-74-9	CHEMBL414357		44460		D04121		C0167117	CID116156130
1118	DB01275	Hydralazine	D0K1XK	3637.0	86-54-4	CHEMBL276832	ZINC000012360535	5775	C07040	D08044	81461.0	C0020223	CID000003637
1119	DB01274	Arformoterol	D0D1DI	3083544.0	67346-49-0	CHEMBL1363	ZINC000002599970	408174		D07463	50151720.0	C0969589	CID003083544
1140	DB01280	Nelarabine	D0B8UJ	3011155.0	121032-29-9	CHEMBL1201112	ZINC000003823492	63612		D05134		C0907349	CID003011155
1162	DB01291	Pirbuterol	D0SS4P	4845.0	38677-81-5	CHEMBL1094966		8245	C07807	D08387		C0071129	CID000004845
1346	DB01340	Cilazapril	D04GKO	56330.0	88768-40-5	CHEMBL515606	ZINC000003781951	3698		D07699		C0055723,C0886706	CID100002751
1357	DB00014	Goserelin	D00BCG	5311128.0	65807-02-5	CHEMBL1201247		5523		D00573		C0120107	CID100047725
1415	DB01351	Amobarbital	D0R6BR	2164.0	57-43-2	CHEMBL267894	ZINC000004811698	2673	C07536	D00555		C0002640,C0004740	CID100002163
1422	DB01356	Lithium cation	D5MF8Y	28486.0	7439-93-2	CHEMBL1234004		49713	C15473		50259153.0		CID000028486
1428	DB01359	Penbutolol	D0W8SB	37464.0	38363-40-5	CHEMBL1290	ZINC000000001898	7954	C07416	D08074		C0030812	CID000037464
1466	DB01364	Ephedrine	D0LG8E	9294.0	299-42-3	CHEMBL211456	ZINC000000074836	15407	C01575	D00124	21145.0	C0014479	CID000009294
1472	DB01362	Iohexol		3730.0	66108-95-0	CHEMBL1200455		31709		D01817		C0022005	CID000003730
1477	DB00035	Desmopressin	D0U7SH	27991.0	16679-58-6	CHEMBL1429		4450	C06944	D00291	50205308.0	C0011701,C0701195	CID100027991
1478	DB01367	Rasagiline	D06OMW	3052776.0	136236-51-6	CHEMBL887	ZINC000019875504	63620		D08469	10989.0	C0525678	CID100122316
1510	DB00040	Glucagon	D01JWH	7847184.0	16941-32-5	CHEMBL266481		5391	C01501	D00116		C0017687,C0772088,C0876232,C4256157	CID116132283
1518	DB01373	Calcium	D0PJ4K	5460341.0	7440-70-2	CHEMBL2146121		29320	C00076			C0006675	CID100000271
1520	DB00049	Rasburicase	D08LJP		134774-45-1	CHEMBL1201594						C0937932	CID100102258
1522	DB01378	Magnesium cation	DCL000876	888.0	22537-22-0			18420	C00305		15.0	C2346927	CID000000888
1526	DB14681	Cortisone	D0IX6I	51092041.0	53-06-5	CHEMBL1499	ZINC000004083557	16962	C00762	D07749	13739.0		CID100222786
1528	DB14682	Dextrorphan	D06IEN	24139.0	125-73-5	CHEMBL1254766	ZINC000001280092	29133			50001000.0		CID100003918
1562	DB02638	Terlipressin	D0P4VX	72081.0	14636-12-5	CHEMBL2135460		135905		D06672		C0145185	CID000072081
1611	DB01319	Fosamprenavir	D0F5MT	131536.0	226700-79-4	CHEMBL1664	ZINC000003941829	82941		D02497		C1176315	CID100131535
1644	DB01320	Fosphenytoin	D0J5YC	56339.0	93390-81-9	CHEMBL1201336	ZINC000001530922	5165	C07840	D07993	56339.0	C0244656	CID100056338
1653	DB01324	Polythiazide	D06TNG	4870.0	346-18-9	CHEMBL1587		8327	C07766	D00657		C0032613	CID000004870
1663	DB02659	Cholic Acid	D0OR2L	221493.0	81-25-4	CHEMBL205596	ZINC000006858022	16359	C00695	D10699	21680.0	C0055568	CID000221493
1664	DB01327	Cefazolin	D09KDN	33255.0	25953-19-9	CHEMBL1435	ZINC000003830405	474053	C06880	D02299	50370587.0	C0007546,C0700930	CID000033255
1701	DB01332	Ceftizoxime	D0Y7BD	6533629.0	68401-81-0	CHEMBL528	ZINC000003830477	553473	C06890		237182.0	C0007560	CID006533629
1705	DB01331	Cefoxitin	D02VFC	441199.0	35607-66-0	CHEMBL996	ZINC000003830449	209807	C06887	D02345	50335563.0	C0007557,C4255697	CID000441199
1708	DB01330	Cefotetan	D0AP9T	53025.0	69712-56-7	CHEMBL474579		3499	C06886	D00260	80643.0	C0007555	CID100050614
1726	DB03994	Ethanolamine	D0K8NW	700.0	141-43-5	CHEMBL104943	ZINC000008214617	16000	C00189	D05074	7973.0		CID000000700
1729	DB01339	Vecuronium	D0Z8HG	39765.0	86029-43-8	CHEMBL1201219	ZINC000004097404	9939	C07553		50424713.0	C0242531,C3848538	CID100039764
1730	DB00006	Bivalirudin	D09HVL	16129704.0	128270-60-0	CHEMBL2103749		59173		D03136	50248103.0	C0168273	CID016129704
1734	DB01337	Pancuronium	D0AA0L	441289.0	16974-53-1	CHEMBL185073	ZINC000004097383	7907	C07551			C0030310	CID100004675
1768	DB12091	Gadolinium		23982.0	7440-54-2			33375				C0016911	CID000023982
1800	DB00050	Cetrorelix	D09OLZ	25074887.0	120287-85-6	CHEMBL1200490		59224		D07665	50369965.0	C0209366	CID125074886
1835	DB01394	Colchicine	D09DHY	2833.0	64-86-8	CHEMBL87		23359	C07592	D00570		C0009262	CID100002833
1836	DB00063	Eptifibatide	D09ZIO	448812.0	188627-80-7	CHEMBL1174				D06888		C0253563,C0950902,C4256156	CID100123610
1837	DB01393	Bezafibrate	D00WCX	39042.0	41859-67-0	CHEMBL264374	ZINC000003956919	47612		D01366	28701.0	C0005330	CID000039042
1842	DB00067	Vasopressin	D0N4OW	644077.0	11000-17-2	CHEMBL373742		9937	C00840	D00101		C1705480	CID111979316
1846	DB01395	Drospirenone	D0Z4ZT	68873.0	67392-87-4	CHEMBL1509	ZINC000003927200	50838		D03917	150275.0	C0043822	CID100147740
1849	DB01399	Salsalate	D0Y0JH	5161.0	552-94-3	CHEMBL154111	ZINC000000002062	9014		D00428	85244.0	C0073983	CID000005161
1956	DB01400	Neostigmine	D08USJ	4456.0	59-99-4	CHEMBL278020	ZINC000000001792	7514	C07258	D08261	50022775.0	C0027679	CID000004456
1959	DB01406	Danazol	D09IPV	28417.0	17230-88-5	CHEMBL1479	ZINC000003881958	4315		D00289	50423541.0	C0010961	CID000028417
1966	DB01409	Tiotropium	D0P1WA	5487427.0	186691-13-4	CHEMBL1900528	ZINC000100008319	90960			50239981.0	C0213771	CID100060830
1974	DB14726	Dabigatran	D01VAB	2119.0	211914-51-1	CHEMBL48361	ZINC000001910616	70752		D09707	50112086.0	C2348066	CID100213023
1981	DB01413	Cefepime	D0A1CB	5479537.0	88040-23-7	CHEMBL186		478164	C08111	D02376	50350470.0	C0055003	CID005479537
1987	DB01410	Ciclesonide	D0K7HU	6918155.0	126544-47-6	CHEMBL2040682	ZINC000003915154	31397		D01703	20406.0	C0907850	CID006918155
1989	DB01416	Cefpodoxime	D0W6CA	6335986.0	80210-62-4	CHEMBL1672	ZINC000003830453	3504	C08114	D07650	50292251.0	C0055011	CID006335986
1996	DB01418	Acenocoumarol	D05HFY	54676537.0	152-72-7	CHEMBL397420		53766		D07064		C0000956	CID054676537
2000	DB02703	Fusidic acid	D0X7XG	3000226.0	6990-06-3	CHEMBL374975	ZINC000008143796	29013	C06694	D04281	58924.0	C0016875,C0369246,C4255637	CID003000226
2042	DB00130	L-Glutamine	D01JIA	5961.0	56-85-9	CHEMBL930	ZINC000001532526	58359	C00064	D00015	18121.0	C0017797	CID000005961
2048	DB00136	Calcitriol	D0T2PL	5280453.0	32222-06-3	CHEMBL846	ZINC000100015048	17823	C01673	D00129	50200182.0	C0006674	CID005280453
2106	DB00145	Glycine	D0M8AB	750.0	56-40-6	CHEMBL773	ZINC000004658552	15428	C00037	D00011	18133.0	C0017890,C4256149	CID000000750
2146	DB00152	Thiamine	D07TYL	1130.0	70-16-6	CHEMBL1547	ZINC000000049153	18385	C00378	D08580	50373877.0	C0039840	CID000001130
